,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,last_updated,price,volume_24h,volume_change_24h,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,market_cap,market_cap_dominance,fully_diluted_market_cap,last_updated
0,1,Bitcoin,BTC,bitcoin,9341,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio']",21000000.0,19017937.0,19017937.0,,1,,,2022-04-21T16:01:00.000Z,42162.94873948325,29662707941.19881,15.2004,-0.82355759,2.18198194,5.32589724,-1.02760969,9.92258751,8.46751876,801852302861.7218,41.2242,885421923529.15,2022-04-21T16:01:00.000Z
1,1027,Ethereum,ETH,ethereum,5653,2015-08-07T00:00:00.000Z,"['mineable', 'pow', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'bnb-chain']",,120469649.8115,120469649.8115,,2,,,2022-04-21T16:00:00.000Z,3112.3472673327874,17589926392.71668,14.7644,-1.10082905,1.40224096,3.14317362,3.50531298,17.35557836,9.69079221,374943385387.35986,19.2763,374943385387.36,2022-04-21T16:00:00.000Z
2,825,Tether,USDT,tether,32098,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin']",,82997861479.1741,85613951815.53561,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xdac17f958d2ee523a2206206994597c13d831ec7'}",3,,,2022-04-21T16:00:00.000Z,1.0002483463123295,72076688338.14615,5.3404,-0.00736306,-0.00234502,-0.0041649,-0.02111359,-0.03066632,-0.01303481,83018473692.0037,4.2703,85635213724.75,2022-04-21T16:00:00.000Z
3,1839,BNB,BNB,bnb,803,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'moonriver-ecosystem', 'bnb-chain']",165116760.0,163276974.63,163276974.63,,4,,,2022-04-21T16:00:00.000Z,420.6282045743257,1990511757.2832422,-2.2564,-0.49788711,-0.19638088,1.98675946,3.4735954,10.60881747,-0.62353748,68678900686.944626,3.5345,69452766303.93,2022-04-21T16:00:00.000Z
4,3408,USD Coin,USDC,usd-coin,3778,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,49892351394.13943,49892351394.13943,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48'}",5,,,2022-04-21T16:00:00.000Z,0.9997361544332771,4088852382.514534,3.2982,0.0028823,0.00191061,0.03053098,-0.01386822,0.02850495,-0.12185906,49879187518.410706,2.5644,49879187518.41,2022-04-21T16:00:00.000Z
5,52,XRP,XRP,xrp,712,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'binance-chain', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",100000000000.0,48105234849.0,99989594553.0,,6,,,2022-04-21T16:00:00.000Z,0.7592891633290839,1818304057.7830093,1.3668,-0.01052814,0.42225637,6.19260175,-9.5281011,-3.47952245,11.14735404,36525783520.2463,1.8778,75928916332.91,2022-04-21T16:00:00.000Z
6,5426,Solana,SOL,solana,295,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio']",,333436472.4735569,511616946.142289,,7,,,2022-04-21T16:00:00.000Z,107.93427363383842,1637385224.6305742,-12.4387,-1.15450156,2.10018369,6.50196468,16.18183724,20.55406531,-11.6239721,35989223459.462715,1.8521,55221003460.63,2022-04-21T16:00:00.000Z
7,4172,Terra,LUNA,terra-luna,213,2019-07-26T00:00:00.000Z,"['cosmos-ecosystem', 'store-of-value', 'defi', 'payments', 'coinbase-ventures-portfolio', 'binance-labs-portfolio', 'solana-ecosystem', 'arrington-xrp-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'pantera-capital-portfolio', 'terra-ecosystem']",,352236687.72744316,735360634.118666,,8,,,2022-04-21T16:00:00.000Z,98.33336958564345,2237802946.3636527,-2.6206,-0.68172813,3.07489417,20.34252389,5.65174867,99.08444419,33.16863608,34636620395.92555,1.7825,72310489013.52,2022-04-21T16:00:00.000Z
8,2010,Cardano,ADA,cardano,424,2017-10-01T00:00:00.000Z,"['mineable', 'dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'bnb-chain']",45000000000.0,33752565071.288,34277702081.605,,9,,,2022-04-21T16:00:00.000Z,0.95641824891521,808108810.8733804,-5.0229,-0.25011111,0.99978383,2.25771429,-1.72624229,1.43588451,-21.32403438,32281569181.87795,1.6596,43038821201.18,2022-04-21T16:00:00.000Z
9,5805,Avalanche,AVAX,avalanche,233,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain']",,268480869.1177771,395891289.9134107,,10,,,2022-04-21T16:00:00.000Z,78.9419046083638,497955959.75756913,-23.369,-0.21749521,0.8128399,2.47486946,-8.42793854,0.12156174,6.45675661,21194391159.066166,1.0896,31252412443.63,2022-04-21T16:00:00.000Z
